ID_FENOMENO;DESC_FENOMENO
1;Temperatura máxima (ºC)
2;Temperatura mínima (ºC)
3;Temperatura media (ºC)
4;Precipitación (mm)
5;Temperatura mínima a 5 (ºC)
6;Temperatura mínima a 50 (ºC)
7;Heliofanía efectiva (hs)
8;Heliofanía relativa (%)
9;Tensión vapor (hPa)
10;Humedad relativa (%)
11;Temperatura punto rocio (ºC)
12;Velocidad del viento a 10m (km/h)
13;Velocidad del viento a 2m (km/h)
14;Radiación global (MJ/m2)
15;Evapotranspiración potencial (mm)
16;Grados día > 10ºC 
17;Cociente fototérmico
18;Frecuencia heladas
19;Horas de frio < 7ºC